127.0.0.1 - root [04/Sep/2025:00:00:02 +0700] "GET /manager/text/deploy?config=file%3A%2Ftmp%2Fcontext11163484081597138800.xml&path=/SpringSaleWeb HTTP/1.1" 200 100
127.0.0.1 - - [04/Sep/2025:00:01:23 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [04/Sep/2025:00:01:23 +0700] "GET /manager/text/ HTTP/1.1" 200 38
127.0.0.1 - - [04/Sep/2025:00:01:23 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [04/Sep/2025:00:01:23 +0700] "GET /manager/text/ HTTP/1.1" 200 38
127.0.0.1 - - [04/Sep/2025:00:01:23 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [04/Sep/2025:00:01:23 +0700] "GET /manager/text/ HTTP/1.1" 200 38
127.0.0.1 - - [04/Sep/2025:00:01:23 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [04/Sep/2025:00:01:23 +0700] "GET /manager/text/ HTTP/1.1" 200 38
127.0.0.1 - root [04/Sep/2025:00:01:23 +0700] "GET /manager/text/list HTTP/1.1" 200 315
127.0.0.1 - root [04/Sep/2025:00:01:23 +0700] "GET /manager/text/list HTTP/1.1" 200 315
127.0.0.1 - root [04/Sep/2025:00:01:24 +0700] "GET /manager/text/undeploy?path=/SpringSaleWeb HTTP/1.1" 200 72
127.0.0.1 - root [04/Sep/2025:00:01:29 +0700] "GET /manager/text/deploy?config=file%3A%2Ftmp%2Fcontext8140701139432156273.xml&path=/SpringSaleWeb HTTP/1.1" 200 100
127.0.0.1 - - [04/Sep/2025:00:07:16 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [04/Sep/2025:00:07:16 +0700] "GET /manager/text/ HTTP/1.1" 200 38
127.0.0.1 - - [04/Sep/2025:00:07:16 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [04/Sep/2025:00:07:16 +0700] "GET /manager/text/ HTTP/1.1" 200 38
127.0.0.1 - - [04/Sep/2025:00:07:16 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [04/Sep/2025:00:07:16 +0700] "GET /manager/text/ HTTP/1.1" 200 38
